III. Project Hours & Leverage,Hours % Allocation,Admin,Designer,Designer,Architect,Engineer ,Principal,Total,
Kick-Off,,0%,8%,8%,8%,8%,68%,100%,
Discovery,6.0%,0%,37%,37%,10%,2%,14%,100%,
Creative - Conceptual,7.0%,0%,0%,0%,95%,0%,5%,100%,
Creative - Shematic,35.0%,0%,32%,32%,32%,2%,2%,100%,
Creative - Preliminary,7.0%,0%,32%,32%,32%,2%,2%,100%,
Technical - Shematic,35.0%,0%,26%,26%,10%,32%,6%,100%,
Technical - Preliminary,10.0%,0%,26%,26%,10%,32%,6%,100%,
Pre-Construction  (Hourly Rate),,0%,0%,0%,0%,0%,0%,,
Construction Observation  (Hourly Rate),,0%,0%,0%,0%,0%,0%,,
Total % Per Employees,100.00%,0%,27%,27%,25%,15%,5%,100%,
