Louis Amy Quote ,Calculation Formulas,//Notes to AI Agent Coder,,,,,,
Building Use,Residential,//Drop Drown Selection ,,,,,,
Building Type,Residence - Private,//Drop Drown Selection filtered by Building Type,,,,,,
Building Tier,Mid-Range Standard Residential,//Drop Drown Selection filtered by Building use selection,,,,,,
Category,Category 5,//Map Category by previous selections // Category 1 = 0.9 // Category 2 = 1.0 // Category 3 =1.1 // Category 4 = 1.2 // Category 5 = 1.3,,,,,,
Design Level,3,"//Map ""Design Level"" equals to "" Tier  (1,2,3)"" // 1=Basic Design // 2=Standard Design // 3=Full Design // map this to the databbase ""cost_ranges"" this afect construction cost and interior exterior and shell shares",,,,,,
New Building Area (ft²)," 4,000.00 ",//New Construction,,,,,,
Existing Building Area (ft²),,//Reconstruction / Remodel,,,,,,
Site Area (m2)," 1,000.00 ",//Use Site Area for Scan to Bim calculation,,,,,,
,,,,,,,,
,,,,,,,,
Multipliers,Selection,,,,,,,
Historic Property Multiplier,1,1,1.2,,,,,
Remodel Multiplier,0.5,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Key,Mid-Range Standard Residential|3,// Do not display,,,,,,
New Construction ,100.00%,//display with a dounugth chart,,,,,,
Existing to Remodel,0.00%,//display with a dougnuth chart,,,,,,
,,,,,,,,
New Construction Min $/ft², $380.00 ,// minimum end (bracket)  of slider //Fixed ,,,,,,
Existing to Remodel Min $/ft², $190.00 ,// minimum end (bracket)  of slider //Fixed ,,,,,,
,,,,,,,,
New Construction Target $/ft², $390.00 ,// Average by default // Allow Overwrite by moving a dot on the slider ,,,,,,
Existing to Remodel Target $/ft², $195.00 ,// Average by default // Allow Overwrite by moving a dot on the slider ,,,,,,
,,,,,,,,
New Construction  Max $/ft², $400.00 ,// Max end (bracket)  of slider //Fixed ,,,,,,
Existing to Remodel Max $/ft², $200.00 ,// Max end (bracket)  of slider //Fixed ,,,,,,
,,,,,,,,
,,,,,,,,
Total Budget ," $1,560,000.00 ",//Calculate,,,,,,
New Construction Budget ," $1,560,000.00 ",,,,,,,
Existing to Remodel Budget, $-   ,,,,,,,
,,,,,,,,
Project Shell  Share,66.00%,//From database to set the default // Allow Overwrite with a slider,,,,,,
Project Interior Share,22.00%,//From database to set the default // Allow Overwrite with a slider,,,,,,
Project Landscape Share,12.00%,//From database to set the default // Allow Overwrite with a slider,,,,,,
,,,,,,,,
Building Shell Minimum Total Budget," $1,029,600.00 ",//Card,,,,,,
New Construction Shell Minimum Total Budget," $1,029,600.00 ",Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Shell Minimum Total Budget, $-   ,Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Interior Minimum Budget," $343,200.00 ",//Card,,,,,,
New Construction Interior Minimum Total Budget," $343,200.00 ",Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Interior Minimum Total Budget, $-   ,Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Landscape Minimum Budget," $187,200.00 ",//Card,,,,,,
New Construction Landscape Minimum Total Budget," $187,200.00 ",Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Landscape Minimum Total Budget, $-   ,Hidden inside - display number and graphically ,,,,,,
,New construction Leverage,Existing to Remodel Leverage,,,,,,
Architectural Design Share,35%,44%,,,,,,
Interior Design Share,22%,22%,,,,,,
Landscape Design Share,12%,12%,,,,,,
Structural Design Share,17%,9%,,,,,,
Civil Design Share,3%,3%,,,,,,
Mechanical Design Share,4%,4%,,,,,,
Electrical Design Share,3%,3%,,,,,,
Plumbing Design Share,2%,2%,,,,,,
Telecomunication Design,1%,1%,,,,,,
,,,,,,,,
Architecture Budget," $550,836.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $550,836.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Interior Budget," $343,200.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $343,200.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Landscape Budget," $187,200.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $187,200.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Structural Budget," $267,696.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $267,696.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Civil Budget," $51,480.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $51,480.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Mechanical Budget," $61,776.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $61,776.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Electrical Budget," $46,332.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $46,332.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Plumbing Budget," $36,036.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $36,036.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Telecomunication Budget," $15,444.00 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction," $15,444.00 ",//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Working Minimum Budget," $1,560,000.00 ",,,,,,,
New Construction," $1,560,000.00 ",Hidden inside - display number and graphically ,,,,,,
Existing to Remodel, $-   ,Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Category Multiplier,1.3,// Do Not Display  // Base on Building Category ,,,,,,
Coordination Fee,15%,,,,,,,
Markup,100%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Top Down Fee Analysis," $15,444.00 ",,,,,,,
Scope,Percent of Project Cost %,Rate per sq-ft,Market Fee,Louis Amy Market Fee,Aproximate Hours,Cordination Fee,Consultants,
Scan to Bim - Building,, $2 , $-   , $-   , -   , $-   , $-   ,
Scan to Bim - Site,, $0.2 ," $2,162 "," $2,162 ", 13 , $-   , $-   ,
Architecture (Design + Consultant Admin.),15%, $21 ," $84,323 "," $84,323 ", 514 , $-   , $-   ,
Interior design,19%, $16 ," $65,135 "," $65,135 ", 397 , $-   , $-   ,
Landscape architecture,17%, $8 ," $32,050 "," $32,050 ", 195 , $-   , $-   ,
Structural engineer,12%, $8 ," $31,734 "," $31,734 ", 194 , $-   , $-   ,
Civil / site engineer,18%, $2 ," $9,363 "," $9,363 ", 57 , $-   , $-   ,
"Mechanical (HVAC, energy, pools)",17%, $3 ," $10,531 ", $-   , -   ," $1,580 "," $10,531 ",
Electrical (power / lighting),19%, $2 ," $8,766 ", $-   , -   ," $1,315 "," $8,766 ",
Plumbing engineer,21%, $2 ," $7,540 "," $7,540 ", 46 , $-   , $-   ,
Telecomunication,31%, $1 ," $4,829 ", $-   , -   , $724 ," $4,829 ",
Total,,,," $232,306.23 "," 1,417 "," $3,619 "," $24,127 ",
,,,,,,,,
,,,,,,,,
I. Buttom Up Fee Analysis,,,,,,,,
Team Member,Designer 1,Designer 2,Architect,Engineer ,Principal,Ave Rates,,
Rate , $26 , $26 , $26 , $26 , $26 ,,,
Total Labor Cost," $74,318 "," $74,318 "," $74,318 "," $74,318 "," $74,318 "," $371,591 ",,
Total Expenses," $80,707 "," $80,707 "," $93,357 "," $93,357 "," $175,579 "," $523,707 ",,
Total Expenses," $155,025 "," $155,025 "," $167,675 "," $167,675 "," $249,897 "," $895,298 ",,
II. Cost & Pricing-Per Hour,,,,,,,,
Team Member,Designer 1,Designer 2,Architect,Engineer ,Principal,Ave Rates,,
Rate- Labor Cost per hour, $36 , $36 , $36 , $36 , $36 , $36 ,,
Rate -Overhead per hour, $39 , $39 , $42 , $42 , $67 , $46 ,,
Rate -Total Cost, $75 , $75 , $78 , $78 , $103 , $82 ,,
Margin,50%,50%,50%,50%,50%,50%,,
 Rate -Pricing per hour , $150 , $150 , $156 , $156 , $205 , $164 ,,
III. Project Hours & Leverage,,,,,,,,
,,,,,,,,
New CostructionHours Factor, 0.31 ,//Hide Do not show,,,,,,
Existing to Remodel  Hours Factor, 0.28 ,//Hide Do not show,,,,,,
New Costruction Total Hours All-In," 1,248.90 ",//Hide Do not show,,,,,,
Existing to Remodel Total Hours All-In, -   ,//Hide Do not show,,,,,,
Scope, Scope Share Percentage , Hours , Hours by Louis Amy  , Hours Out of Scope ,,,,
Scan to Bim - Building,0%, -   , -   ,,,,,
Scan to Bim - Site,1%, 10.53 , 10.53 ,,,,,
Architecture (Design + Consultant Admin.),33%, 410.67 , 410.67 ,,,,,
Interior design,25%, 317.22 , 317.22 ,,,,,
Landscape architecture,12%, 156.09 , 156.09 ,,,,,
Structural engineer,12%, 154.56 , 154.56 ,,,,,
Civil / site engineer,4%, 45.60 , 45.60 ,,,,,
"Mechanical (HVAC, energy, pools)",4%, 51.29 ,, 51.29 ,,,,
Electrical (power / lighting),3%, 42.70 ,, 42.70 ,,,,
Plumbing engineer,3%, 36.72 , 36.72 ,,,,,
Telecomunication,2%, 23.52 ,, 23.52 ,,,,
Total,100%," 1,248.90 "," 1,131.40 ", 117.50 ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Project Hours by Phases,,,,,,,,
Discovery,8%, 90.51 ,,,,,,
Creative - Conceptual,8%, 90.51 ,,,,,,
Creative - Shematic,34%, 384.68 ,,,,,,
Creative - Preliminary,8%, 90.51 ,,,,,,
Technical - Shematic,34%, 384.68 ,,,,,,
Technical - Preliminary,8%, 90.51 ,,,,,,
Total ,100%," 1,131.40 ",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Leverage % Per Employees,Designer 1 Leverage,Designer 2 Leverage,Architect Leverage,Engineer Leverage,Principal Leverage,Verification,,
Discovery,37%,37%,10%,2%,14%,100%,,
Creative - Conceptual,0%,0%,95%,0%,5%,100%,,
Creative - Shematic,32%,32%,32%,2%,2%,100%,,
Creative - Preliminary,32%,32%,32%,2%,2%,100%,,
Technical - Shematic,26%,26%,10%,32%,6%,100%,,
Technical - Preliminary,26%,26%,10%,32%,6%,100%,,
Percentage Sum Product,27%,27%,26%,14%,5%,100%,,
Total Hours Per Employees,Designer 1 Hours,Designer 2 Hours,Architect Hours,Engineer Hours,Principal Hours,Total ,,
Discovery, 33 , 33 , 9 , 2 , 13 , 90 ,,
Creative - Conceptual, -   , -   , 86 , -   , 5 , 91 ,,
Creative - Shematic, 123 , 123 , 123 , 8 , 8 , 385 ,,
Creative - Preliminary, 29 , 29 , 29 , 2 , 2 , 91 ,,
Technical - Shematic, 100 , 100 , 38 , 123 , 23 , 384 ,,
Technical - Preliminary, 24 , 24 , 9 , 29 , 5 , 91 ,,
Total, 309.00 , 309.00 , 294.00 , 164.00 , 56.00 ," 1,132 ",,
Project Fees,Designer 1 Hours,Designer 2 Hours,Architect Hours,Engineer Hours,Principal Hours,Total ,,
Discovery," $4,208 "," $4,208 "," $1,193 ", $265 ," $2,265 "," $12,139 ",,
Creative - Conceptual, $-   , $-   ," $11,404 ", $-   , $871 ," $12,275 ",,
Creative - Shematic," $15,683 "," $15,683 "," $16,310 "," $1,061 "," $1,394 "," $50,130 ",,
Creative - Preliminary," $3,698 "," $3,698 "," $3,845 ", $265 , $349 ," $11,854 ",,
Technical - Shematic," $12,750 "," $12,750 "," $5,039 "," $16,310 "," $4,008 "," $50,856 ",,
Technical - Preliminary," $3,060 "," $3,060 "," $1,193 "," $3,845 ", $871 ," $12,030 ",,
Total," $39,398 "," $39,398 "," $38,984 "," $21,746 "," $9,758 "," $149,284 ",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sanity Check,Market % of Construction,Market Rate Per (ft²),Market Total Hours,Market Fee,Percent Diference,Diference,,
Top Down Summary,15%, $58.08 ," 1,417 "," $232,306 ",24%," $56,678.23 ",,
