Building Use,Building Type,Category,Building Tier,shell New Construction Min $/ft² All-in,shell Existing to Remodel Min $/ft² All-in,shell New Construction Target $/ft² All-in,shell Existing to Remodel Target $/ft² All-in,shell New Construction Max $/ft² All-in,shell Existing to Remodel Max $/ft² All-in,Interior New Construction Min $/ft² All-in,Interior Existing to Remodel Min $/ft² All-in,Interior New Construction Target $/ft² All-in,Interior Existing to Remodel Target $/ft² All-in,Interior New Construction Max $/ft² All-in,Interior Existing to Remodel Max $/ft² All-in,Outdoor & Landscape New Construction Min $/ft² All-in,Outdoor & Landscape Existing to Remodel Min $/ft² All-in,Outdoor & Landscape New Construction Target $/ft² All-in,Outdoor & Landscape Existing to Remodel Target $/ft² All-in,Outdoor & Landscape New Construction Max $/ft² All-in,Outdoor & Landscape Existing to Remodel Max $/ft² All-in,Swimming Pool New Construction Min $/ft² All-in,Swimming Pool Existing to Remodel Min $/ft² All-in,Swimming Pool New Construction Target $/ft² All-in,Swimming Pool Existing to Remodel Target $/ft² All-in,Swimming Pool New Construction Max $/ft² All-in,Swimming Pool Existing to Remodel Max $/ft² All-in,Project Shell Share (%),Project Interior Share (%),Project Landscape Share (%),Architectural Design Share (%),Interior Design Share (%),Landscape Design Share (%),Structural Design Share (%),Civil Design Share (%),Mechanical Design Share (%),Electrical Design Share (%),Plumbing Design Share (%),Telecommunication Design (%),Project Shell Share,Project Interior Share,Project Landscape Share,Architectural Design Share,Interior Design Share,Landscape Design Share,Structural Design Share,Civil Design Share,Mechanical Design Share,Electrical Design Share,Plumbing Design Share,Telecomunication Design,Telecommunication Design
Residential,Custom Houses,5,Low,139,99,154,110,177,127,32,48,40,60,51,78,14,15,20,22,30,33,5,6,7,8,11,13,70,18,12,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,70,18,12,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,0.3
Residential,Custom Houses,5,Mid,190,131,211,146,242,167,50,72,62,90,81,116,17,22,25,31,37,46,9,10,12,14,20,22,68,20,12,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,68,20,12,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,0.4
Residential,Custom Houses,5,High,240,181,267,202,307,232,83,118,103,147,134,191,27,35,39,51,58,76,15,14,22,21,35,33,62,24,14,7,3,1.2,2,1,1.6,1.6,1.1,0.5,62,24,14,7,3,1.2,2,1,1.6,1.6,1.1,0.5,0.5
Residential,Public Social Housing,2,Low,94.5,72,105,80,120.75,92,16,22.4,20,28,26,36.4,4.2,4.2,6,6,9,9,0,0,0,0,0,0,72,20,8,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,72,20,8,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,0.3
Residential,Public Social Housing,2,Mid,108,81,120,90,138,103.5,19.2,25.6,24,32,31.2,41.6,4.2,4.2,6,6,9,9,0,0,0,0,0,0,70,22,8,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,70,22,8,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,0.4
Residential,Public Social Housing,2,High,121.5,90,135,100,155.25,115,24,32,30,40,39,52,5.6,5.6,8,8,12,12,0,0,0,0,0,0,66,26,8,7,3,1.2,2,1,1.6,1.6,1.1,0.5,66,26,8,7,3,1.2,2,1,1.6,1.6,1.1,0.5,0.5
Residential,Private Housing Development,2,Low,108,81,120,90,138,103.5,22.4,32,28,40,36.4,52,8.4,8.4,12,12,18,18,0,0,0,0,0,0,72,20,8,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,72,20,8,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,0.3
Residential,Private Housing Development,2,Mid,135,99,150,110,172.5,126.5,32,44,40,55,52,71.5,10.5,10.5,15,15,22.5,22.5,0,0,0,0,0,0,70,22,8,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,70,22,8,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,0.4
Residential,Private Housing Development,2,High,166.5,126,185,140,212.75,161,48,72,60,90,78,117,15.4,15.4,22,22,33,33,5.6,5.6,8,8,12.8,12.8,66,26,8,7,3,1.2,2,1,1.6,1.6,1.1,0.5,66,26,8,7,3,1.2,2,1,1.6,1.6,1.1,0.5,0.5
Residential,Condominiums,4,Low,103.5,76.5,115,85,132.25,97.75,20,30.4,25,38,32.5,49.4,5.6,7,8,10,12,15,0,0,0,0,0,0,72,20,8,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,72,20,8,5,1.8,1,1.3,0.7,0.7,0.7,0.5,0.3,0.3
Residential,Condominiums,4,Mid,121.5,90,135,100,155.25,115,32,44,40,55,52,71.5,8.4,8.4,12,12,18,18,0,0,0,0,0,0,70,22,8,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,70,22,8,5.5,2.3,0.9,1.6,0.8,1.3,1.3,0.9,0.4,0.4
Residential,Condominiums,4,High,148.5,112.5,165,125,189.75,143.75,52,72,65,90,84.5,117,12.6,12.6,18,18,27,27,4.2,4.2,6,6,9.6,9.6,66,26,8,7,3,1.2,2,1,1.6,1.6,1.1,0.5,66,26,8,7,3,1.2,2,1,1.6,1.6,1.1,0.5,0.5
